Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,3
Pipes and Filters,2
Client-Server,2
Model-View-Controller (MVC),3
Multi-Layer Pattern,3
Player-Role Pattern,2
Ethics credentials,4
AI Mode Switcher,2
Decision Mode Switcher,3
Audit Black Box,4
AI Pipelines,5
Secure Virtual Premise (SVP),3
Fluid Architecture,4
Distinguish Business Logic from
ML Model,3
Delegation of Safety Responsibility,4
Partial Rejection of Safety Responsibility,2
Full Acceptance of Safety Responsibility,2
Lambda Architecture Pattern,4
Deploy canary model,5
Stateless Serving Function,3
Continued Model Evaluation,5
Batch Serving,4
Workflow Pipeline,4
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,4
Infrastructure as Code,5
End-To-End Tests,2
Alarms And Notifications On Processes,4
Functional-Style Architecture,4
Legacy,2
Shadow,2
Chop Shop,2
Internal Feedback,2
Handshake or "Hand Buzzer,3
Replay,3
Tar pit,2
Giveaway,1
Two-Phase Predictions,4
Model Embedded in Application,3
Dedicated Model API,3
Model Published as Data,2
Strategy Pattern,4
Offline Predictions,2
Web single pattern,4
Synchronous pattern,1
Asynchronous pattern,4
Microservice vertical pattern,3
Microservice horizontal pattern,4
Prediction cache pattern,5
Data cache pattern,4
Circuit break pattern,2
Prep-pred pattern,5
Serving template pattern,4
Model-in-image pattern,2
Parameter-based serving pattern,4
Model-load pattern,4
Data Warehouse for ML,3
Closed Loop intelligence,2
Daisy Architecture,4
Kappa Architecture Pattern,4
Data Lake (for ML),5
Discard PoC code,2
Parameter-Server Abstraction,3
Condition-based-serving pattern,5
