Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,3
Pipes and Filters,3
Client-Server,4
Model-View-Controller (MVC),3
Multi-Layer Pattern,4
Player-Role Pattern,2
Ethics credentials,4
AI Mode Switcher,2
Decision Mode Switcher,2
Audit Black Box,4
AI Pipelines,4
Secure Virtual Premise (SVP),4
Fluid Architecture,4
Distinguish Business Logic from
ML Model,2
Delegation of Safety Responsibility,2
Partial Rejection of Safety Responsibility,2
Full Acceptance of Safety Responsibility,3
Lambda Architecture Pattern,2
Deploy canary model,5
Stateless Serving Function,2
Continued Model Evaluation,5
Batch Serving,5
Workflow Pipeline,3 - 'Moderately similar'
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,4
Infrastructure as Code,5
End-To-End Tests,4
Alarms And Notifications On Processes,4
Functional-Style Architecture,2
Legacy,2
Shadow,4
Chop Shop,2
Internal Feedback,3
Handshake or "Hand Buzzer,3
Replay,4
Tar pit,2
Giveaway,2
Two-Phase Predictions,2
Model Embedded in Application,2
Dedicated Model API,2
Model Published as Data,3
Strategy Pattern,2
Offline Predictions,2
Web single pattern,2
Synchronous pattern,2
Asynchronous pattern,2
Microservice vertical pattern,3
Microservice horizontal pattern,4
Prediction cache pattern,4
Data cache pattern,4
Circuit break pattern,2
Prep-pred pattern,4
Serving template pattern,4
Model-in-image pattern,2
Parameter-based serving pattern,4
Model-load pattern,4
Data Warehouse for ML,4
Closed Loop intelligence,2
Daisy Architecture,4
Kappa Architecture Pattern,2
Data Lake (for ML),4
Discard PoC code,2
Parameter-Server Abstraction,2
Condition-based-serving pattern,5
