Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,3
Pipes and Filters,3
Client-Server,4
Model-View-Controller (MVC),3
Multi-Layer Pattern,4
Player-Role Pattern,2
Ethics credentials,4
AI Mode Switcher,2
Decision Mode Switcher,3
Audit Black Box,4
AI Pipelines,4
Secure Virtual Premise (SVP),4
Fluid Architecture,4
Distinguish Business Logic from
ML Model,3
Delegation of Safety Responsibility,2
Partial Rejection of Safety Responsibility,3
Full Acceptance of Safety Responsibility,2
Lambda Architecture Pattern,3
Deploy canary model,4
Stateless Serving Function,3
Continued Model Evaluation,4
Batch Serving,5
Workflow Pipeline,4
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,4
Infrastructure as Code,4
End-To-End Tests,3
Alarms And Notifications On Processes,3
Functional-Style Architecture,4
Legacy,2
Shadow,3
Chop Shop,3
Internal Feedback,4
Handshake or "Hand Buzzer,3
Replay,4
Tar pit,2
Giveaway,3
Two-Phase Predictions,3
Model Embedded in Application,3
Dedicated Model API,3
Model Published as Data,3
Strategy Pattern,2
Offline Predictions,3
Web single pattern,2
Synchronous pattern,2
Asynchronous pattern,3
Microservice vertical pattern,3
Microservice horizontal pattern,3
Prediction cache pattern,4
Data cache pattern,4
Circuit break pattern,2
Prep-pred pattern,4
Serving template pattern,4
Model-in-image pattern,2
Parameter-based serving pattern,3
Model-load pattern,3
Data Warehouse for ML,4
Closed Loop intelligence,3
Daisy Architecture,4
Kappa Architecture Pattern,2
Data Lake (for ML),4
Discard PoC code,2
Parameter-Server Abstraction,3
Condition-based-serving pattern,4
