Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,4
Pipes and Filters,3
Client-Server,3
Model-View-Controller (MVC),3
Multi-Layer Pattern,4
Player-Role Pattern,3
Ethics credentials,3
AI Mode Switcher,1
Decision Mode Switcher,3
Audit Black Box,3
AI Pipelines,4
Secure Virtual Premise (SVP),3
Fluid Architecture,3
Distinguish Business Logic from
ML Model,3
Delegation of Safety Responsibility,2
Partial Rejection of Safety Responsibility,3
Full Acceptance of Safety Responsibility,3
Lambda Architecture Pattern,3
Deploy canary model,4
Stateless Serving Function,3
Continued Model Evaluation,4
Batch Serving,4
Workflow Pipeline,4
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,3
Infrastructure as Code,4
End-To-End Tests,3
Alarms And Notifications On Processes,3
Functional-Style Architecture,4
Legacy,3
Shadow,3
Chop Shop,3
Internal Feedback,3
Handshake or "Hand Buzzer,3
Replay,3
Tar pit,2
Giveaway,1
Two-Phase Predictions,4
Model Embedded in Application,1
Dedicated Model API,4
Model Published as Data,3
Strategy Pattern,4
Offline Predictions,3
Web single pattern,2
Synchronous pattern,2
Asynchronous pattern,3
Microservice vertical pattern,4
Microservice horizontal pattern,3
Prediction cache pattern,4
Data cache pattern,4
Circuit break pattern,3
Prep-pred pattern,5
Serving template pattern,3
Model-in-image pattern,1
Parameter-based serving pattern,3
Model-load pattern,3
Data Warehouse for ML,4
Closed Loop intelligence,3
Daisy Architecture,4
Kappa Architecture Pattern,2
Data Lake (for ML),4
Discard PoC code,2
Parameter-Server Abstraction,3
Condition-based-serving pattern,5
