Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,4
Pipes and Filters,4
Client-Server,4
The two solutions share a similar structure where one component initiates connections for some service (Solution 1) or sends updates to subscribers (Solution 2), highlighting their similarities.
Model-View-Controller (MVC),4
Multi-Layer Pattern,5
Player-Role Pattern,4
Ethics credentials,4
(I'd give them a score of 4 because both solutions aim to address the issue by providing verifiable information about AI systems, ensuring transparency and trustworthiness.)
AI Mode Switcher,4
Decision Mode Switcher,4
Audit Black Box,4
AI Pipelines,4
Secure Virtual Premise (SVP),4 - 'Very similar'
Fluid Architecture,4
Distinguish Business Logic from
ML Model,4
Delegation of Safety Responsibility,4
Partial Rejection of Safety Responsibility,4
Full Acceptance of Safety Responsibility,4
Lambda Architecture Pattern,4
Deploy canary model,5
Stateless Serving Function,4
Continued Model Evaluation,4
Batch Serving,4
Workflow Pipeline,4
Both solutions involve breaking down a complex process into modular, scalable components that can be orchestrated together to form a larger workflow. They both emphasize reproducibility and scalability, with Solution 2 even mentioning specific tools like TFX or Kubeflow Pipelines designed for this purpose. While the language and focus differ slightly, the core ideas of modularity, orchestration, and reproducibility are shared between the two solutions.
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,4
Infrastructure as Code,4
End-To-End Tests,4
Both solutions emphasize the importance of testing and validation in ML model pipelines, but Solution 2 provides more detailed and structured approach.
Alarms And Notifications On Processes,4
Functional-Style Architecture,4
Legacy,4
Shadow,4
(This solution implies creating an intermediary layer to facilitate communication between the legacy system and modern processes, similar to Solution 2's Adapter or Bridge design pattern.)
Chop Shop,4
Internal Feedback,4
Handshake or "Hand Buzzer,4
Replay,4
Tar pit,4
Giveaway,3
The two solutions share a similar goal of reducing risk in testing or data collection, but Solution 2 is more specific and technical in its approach with the "Test Data Factory" pattern.
Two-Phase Predictions,4
Model Embedded in Application,3
Dedicated Model API,4
(Both solutions prioritize flexibility over simplicity by providing a separate service or design pattern for handling machine learning models.)
Model Published as Data,4
Strategy Pattern,4
Offline Predictions,4
Web single pattern,4
Synchronous pattern,4
Asynchronous pattern,4
Microservice vertical pattern,4
Microservice horizontal pattern,4
Prediction cache pattern,5
Data cache pattern,4
Circuit break pattern,4
Prep-pred pattern,5
Serving template pattern,5
Model-in-image pattern,4
Parameter-based serving pattern,4
Model-load pattern,4
Data Warehouse for ML,4
Closed Loop intelligence,4
Daisy Architecture,4
Kappa Architecture Pattern,4
(The two solutions share a common goal of handling large amounts of data with minimal resources, but Solution 2 provides more specific strategies for achieving this.)
Data Lake (for ML),4
Discard PoC code,3
The two solutions are related but take different approaches to addressing the problem. Solution 1 is more focused on "undoing" the shortcuts taken during the PoC phase, while Solution 2 takes a more proactive approach by establishing best practices for code maintenance and refactoring throughout the development process.
Parameter-Server Abstraction,4
Condition-based-serving pattern,4
