Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,4
Pipes and Filters,2
Client-Server,3
Model-View-Controller (MVC),3
Multi-Layer Pattern,5
Player-Role Pattern,1
Ethics credentials,4
AI Mode Switcher,2
Decision Mode Switcher,2
Audit Black Box,3
AI Pipelines,4
Secure Virtual Premise (SVP),3
Fluid Architecture,4
Distinguish Business Logic from,
ML Model,2
Delegation of Safety Responsibility,3
Partial Rejection of Safety Responsibility,2
Full Acceptance of Safety Responsibility,2
Lambda Architecture Pattern,4
Deploy canary model,5
Stateless Serving Function,2
Continued Model Evaluation,4
Batch Serving,5
Workflow Pipeline,5
Proxy Pattern,5
Mediator Pattern,3
Continuous Integration and Deployment,4
Infrastructure as Code,5
End-To-End Tests,2
Alarms And Notifications On Processes,4
Functional-Style Architecture,4
Legacy,2
Shadow,2
Chop Shop,2
Internal Feedback,3
"Handshake or ""Hand Buzzer",4
Replay,4
Tar pit,2
Giveaway,2
Two-Phase Predictions,4
Model Embedded in Application,2
Dedicated Model API,4
Model Published as Data,4
Strategy Pattern,4
Offline Predictions,2
Web single pattern,5
Synchronous pattern,1
Asynchronous pattern,5
Microservice vertical pattern,4
Microservice horizontal pattern,4
Prediction cache pattern,5
Data cache pattern,4
Circuit break pattern,4
Prep-pred pattern,5
Serving template pattern,4
Model-in-image pattern,2
Parameter-based serving pattern,4
Model-load pattern,4
Data Warehouse for ML,4
Closed Loop intelligence,2
Daisy Architecture,4
Kappa Architecture Pattern,2
Data Lake (for ML),5
Discard PoC code,3
Parameter-Server Abstraction,2
Condition-based-serving pattern,5
