Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,2
Pipes and Filters,3
Client-Server,4
Model-View-Controller (MVC),2
Multi-Layer Pattern,4
Player-Role Pattern,2
Ethics credentials,3
AI Mode Switcher,2
Decision Mode Switcher,2
Audit Black Box,3
AI Pipelines,3
Secure Virtual Premise (SVP),3
Fluid Architecture,3
Distinguish Business Logic from
ML Model,2
Delegation of Safety Responsibility,2
Partial Rejection of Safety Responsibility,2
Full Acceptance of Safety Responsibility,2
Lambda Architecture Pattern,2
Deploy canary model,4
Stateless Serving Function,2
Continued Model Evaluation,4
Batch Serving,4
Workflow Pipeline,3
Proxy Pattern,4
Mediator Pattern,3
Continuous Integration and Deployment,4
Infrastructure as Code,4
End-To-End Tests,3
Alarms And Notifications On Processes,3
Functional-Style Architecture,3
Legacy,2
Shadow,3
Chop Shop,3
Internal Feedback,3
Handshake or "Hand Buzzer,3
Replay,3
Tar pit,1
Giveaway,2
Two-Phase Predictions,3
Model Embedded in Application,3
Dedicated Model API,3
Model Published as Data,2
Strategy Pattern,2
Offline Predictions,2
Web single pattern,2
Synchronous pattern,1
Asynchronous pattern,2
Microservice vertical pattern,3
Microservice horizontal pattern,3
Prediction cache pattern,4
Data cache pattern,4
Circuit break pattern,3
Prep-pred pattern,4
Serving template pattern,3
Model-in-image pattern,2
Parameter-based serving pattern,3
Model-load pattern,3
Data Warehouse for ML,3
Closed Loop intelligence,3
Daisy Architecture,3
Kappa Architecture Pattern,2
Data Lake (for ML),4
Discard PoC code,2
Parameter-Server Abstraction,2
Condition-based-serving pattern,4
