Name,Similarity
Encapsulating ML Models within Rule-based Safeguards,4
The two solutions share similarities in their approach of introducing an additional layer of scrutiny or validation before using ML model predictions for safety- or security-related functions.
Pipes and Filters,4
Client-Server,3
Model-View-Controller (MVC),4
(They share similar goals and design principles, even though Solution 2 uses different terminology.)
Multi-Layer Pattern,5
Player-Role Pattern,4
Ethics credentials,4
AI Mode Switcher,4
(Both solutions aim to address the complexity of AI by introducing controlled and iterative approaches to deployment and risk management.)
Decision Mode Switcher,4
Audit Black Box,4
AI Pipelines,4
Secure Virtual Premise (SVP),4
Fluid Architecture,5
Distinguish Business Logic from
ML Model,4
Delegation of Safety Responsibility,4
Partial Rejection of Safety Responsibility,4
Full Acceptance of Safety Responsibility,3
(They both deal with safety-related challenges in AI-based systems, but Solution 2 is a more comprehensive and detailed approach.)
Lambda Architecture Pattern,4
(Similarity: Very similar)
Deploy canary model,5
Stateless Serving Function,4
Continued Model Evaluation,4
Batch Serving,4
Workflow Pipeline,4
Proxy Pattern,4
Mediator Pattern,4
Continuous Integration and Deployment,4
The two solutions share many similarities in terms of incorporating automated testing at multiple stages, deployment to staging environments, and rollback capabilities. They differ slightly in language and emphasis on automation, but their overall approaches are very similar.
Infrastructure as Code,4
End-To-End Tests,4
(Solution 2 emphasizes automated testing and validation, while Solution 1 focuses on manual smoke testing, but both aim to prevent faulty models/pipelines from being released. The difference lies in the approach, not the goal.)
Alarms And Notifications On Processes,4
(The two solutions are quite similar but Solution 2 is more comprehensive and detailed.)
Functional-Style Architecture,4
Legacy,4
Shadow,4
Chop Shop,4
Internal Feedback,4
Handshake or "Hand Buzzer,4
Replay,4
(Both solutions aim to test models and operational data in AI-based systems, with Solution 2 providing more details on types of tests and a comprehensive approach.)
Tar pit,4
(or)
Very similar. The two solutions have a core goal in common: dealing with bad entities in AI-based systems. Solution 1 aims to reduce their impact, whereas solution 2 seeks to flag them using probabilistic models.
Giveaway,4
Two-Phase Predictions,4
Model Embedded in Application,4
Dedicated Model API,4
Model Published as Data,4
Strategy Pattern,4
Offline Predictions,4
Web single pattern,4
Synchronous pattern,5
Asynchronous pattern,5
Microservice vertical pattern,4
Microservice horizontal pattern,4
Prediction cache pattern,5
Data cache pattern,4
Circuit break pattern,4
Prep-pred pattern,4
Both solutions address the issue of separating preprocess and prediction to improve availability, but Solution 2 provides more details on how to achieve this separation using a two-stage pipeline architecture.
Serving template pattern,4
Model-in-image pattern,4
Parameter-based serving pattern,4
Model-load pattern,5
Data Warehouse for ML,4
Closed Loop intelligence,3
(The two solutions share the goal of improving ML system performance, but Solution 2 provides more specific details on monitoring and rollback mechanisms, whereas Solution 1 focuses on data acquisition for improvement.)
Daisy Architecture,4
(Both solutions aim to improve the efficiency of content production/enrichment processes, but Solution 2 provides a more detailed, step-by-step approach.)
Kappa Architecture Pattern,4
Data Lake (for ML),5
Discard PoC code,4
(Both solutions address the problem by discarding the original PoC code, but Solution 2 provides a more detailed plan for doing so in a structured and maintainable way.)
Parameter-Server Abstraction,4
Condition-based-serving pattern,5
